Ac_No,Age,Years of Experience,Number of Vehicles,Gender,Married,Losses in Thousands
122452,26,7,3,F,Married,571.4763718
123908,65,44,3,M,Single,187.4859603
110789,67,46,3,F,Single,101.8740628
114414,57,36,3,M,Married,350.4226226
137197,20,1,3,F,Single,573.5512437
145307,66,47,3,M,Married,621.7868996
112262,23,5,3,M,Single,898.0880446
120406,69,50,3,M,Single,368.7215463
169529,56,37,3,M,Married,283.3282852
126569,35,17,3,F,Single,467.2536567
158865,21,3,3,F,Single,410.5488979
128113,65,48,3,M,Married,149.3061342
157186,34,13,3,M,Married,314.7800995
188645,44,26,3,F,Single,441.9692376
157466,24,7,3,F,Married,189.2308268
122035,26,5,3,F,Single,685.4844285
182135,29,8,3,F,Married,634.4004256
172376,18,0,3,M,Married,356.6074334
178277,28,8,3,F,Married,278.4953082
107194,19,1,3,M,Single,746.8935141
157932,58,39,3,M,Married,612.1191026
190698,51,30,3,F,Married,310.2260018
140422,37,17,3,M,Married,375.5569674
153316,60,42,3,F,Married,172.6227493
110198,20,3,3,F,Single,688.7438228
141901,38,21,3,M,Single,747.5487832
134669,42,22,3,M,Single,220.1787534
110970,60,40,3,F,Single,147.9479363
156461,22,5,3,M,Single,1269.443421
185071,18,0,3,F,Married,369.4561706
127499,69,52,3,M,Single,60.43479361
135578,50,29,3,F,Single,460.5038004
194240,60,39,3,F,Married,43.48535521
111939,46,25,3,M,Single,408.0652122
174786,60,40,3,M,Married,134.9997371
112948,18,0,3,M,Single,895.8679446
150652,18,1,3,F,Married,176.3763535
139624,66,49,3,M,Single,192.9668642
165329,16,0,3,F,Single,550.4194392
169546,27,8,3,F,Married,295.3055244
181519,21,2,3,F,Married,310.9789476
133893,64,45,3,F,Single,220.0928308
163497,52,31,3,M,Married,290.9601261
158953,51,34,3,M,Single,339.9271734
189520,17,0,3,M,Single,557.7324632
169564,68,50,3,M,Single,216.2477443
122103,48,29,3,M,Single,638.5384535
152041,20,3,3,F,Single,147.2161158
168584,29,10,3,F,Married,304.5682218
155596,64,44,3,M,Single,342.4532548
106644,60,43,3,F,Single,29.03167189
184086,43,23,3,M,Single,285.5213968
131296,37,16,3,F,Married,486.7029206
108871,48,30,3,M,Single,488.9406356
107598,18,1,3,F,Single,469.0238476
152969,59,38,3,M,Married,334.1823816
113044,18,1,3,M,Married,694.286633
186616,64,43,3,M,Single,63.08515924
179479,28,9,3,F,Single,370.2506663
151268,66,47,3,M,Single,264.9169424
179112,60,41,3,F,Married,49.43295102
182141,29,10,3,F,Married,214.1620153
114520,69,52,3,F,Married,128.1344342
129317,17,0,3,F,Single,357.5306666
110141,68,51,3,M,Married,505.8732548
102667,51,30,3,M,Single,449.6786853
164972,64,43,3,F,Single,111.2749942
142478,59,42,3,M,Single,480.7611661
147616,56,39,3,F,Single,382.263524
106882,52,32,3,F,Single,397.850668
173116,64,46,3,F,Married,436.5779985
168100,24,6,3,F,Married,304.2591454
103517,68,50,3,F,Single,362.580154
185414,64,46,3,M,Single,77.55603969
152767,64,45,3,M,Married,106.8391346
164151,68,51,3,M,Married,62.85517407
151382,44,24,3,M,Married,791.1675116
132712,56,36,3,M,Married,381.0230378
125055,61,42,3,F,Single,227.7540504
130549,41,21,3,F,Married,570.0005691
199711,63,44,3,M,Single,50.93564413
184246,43,26,3,M,Single,445.9301345
146307,19,0,3,M,Single,536.6286554
125451,25,8,3,M,Married,183.728461
163489,42,22,3,F,Single,711.7372416
146919,17,0,3,M,Married,478.2292338
164601,60,40,3,F,Single,400.2435035
170632,20,1,3,F,Single,588.5465292
118700,43,25,3,F,Single,433.6436742
117435,55,37,3,M,Single,471.4751538
128316,44,27,3,F,Married,524.6173436
182934,17,0,3,F,Single,526.4224252
196746,26,5,3,M,Married,639.0417596
152066,23,5,3,M,Married,579.042782
109484,66,49,3,F,Single,198.9229634
186337,43,22,3,F,Married,276.2756458
193282,65,48,3,F,Single,304.9781505
119952,41,20,3,F,Married,153.4046273
152243,32,12,3,M,Married,366.3153217
141828,21,2,3,M,Single,579.306829
128342,31,12,3,F,Married,215.8363076
154235,58,38,3,F,Married,289.2175028
157273,31,11,3,F,Married,397.6946214
159023,18,0,3,F,Single,247.3642922
167380,21,3,3,F,Married,286.6560119
103788,22,3,3,F,Married,334.2904507
165028,31,11,3,M,Single,433.6557018
191863,57,37,3,F,Single,439.7754556
143664,41,21,3,F,Married,296.9633824
159360,56,37,3,F,Married,658.0898718
166848,16,0,3,F,Single,634.8251684
160041,17,0,3,F,Married,145.3607974
160851,42,25,3,M,Married,318.220063
114217,41,20,3,M,Single,759.8802844
127169,43,26,3,M,Married,341.468415
133533,44,24,3,M,Married,374.2402912
185310,62,43,3,M,Married,256.071587
131388,36,19,3,F,Married,598.7167497
170667,18,0,3,F,Single,194.3768974
146847,22,4,3,F,Married,415.0884452
100678,51,30,3,M,Married,388.9625929
182054,37,20,3,M,Married,374.3331685
131909,38,21,3,M,Married,359.1558898
104985,55,35,3,F,Married,133.7700683
139648,18,1,3,F,Married,408.4532423
193325,30,10,3,F,Married,339.0187299
138151,41,20,3,F,Single,370.0369949
114072,69,48,3,M,Married,720.9926207
124098,44,27,3,F,Married,333.8670745
121153,24,7,3,M,Married,466.2623592
134577,62,41,3,F,Married,227.4959551
122587,63,43,3,F,Single,224.3856465
103876,61,42,3,M,Married,178.6744353
144763,61,40,3,M,Single,339.7156576
146898,62,42,3,M,Single,156.103407
162367,70,50,3,M,Single,560.6357008
147525,22,4,3,M,Single,1363.388951
134035,43,23,3,M,Married,486.206212
164457,70,49,3,M,Married,248.283635
139734,22,5,3,M,Married,188.8720271
172506,35,16,3,M,Married,410.4520199
107060,22,5,3,F,Single,400.361137
174983,20,2,3,M,Married,309.5882368
155197,22,3,3,M,Single,841.8967517
119438,63,45,3,M,Married,29.01610379
137141,24,5,3,M,Single,868.7337283
173047,60,39,3,F,Married,320.3579811
161544,65,46,3,F,Married,28.86286952
198365,41,22,3,F,Married,337.6231236
189493,26,6,3,F,Single,389.3048929
176392,67,50,3,F,Married,84.05013733
112937,64,47,3,F,Single,36.6118076
142908,68,49,3,M,Married,88.22713977
176413,50,30,3,M,Married,386.4064153
153042,64,46,3,M,Married,39.07322505
163760,61,43,3,F,Married,31.70000207
144955,68,50,3,F,Single,275.2849001
114355,16,0,3,M,Single,589.7118387
119015,21,2,3,F,Married,423.1654373
161449,19,1,3,F,Married,357.9498603
136991,17,0,3,M,Married,145.3968279
118462,59,42,3,M,Married,400.0158111
191198,60,40,3,F,Single,61.86675766
165307,61,40,3,M,Married,139.6749114
189812,64,43,3,F,Married,166.9618452
148603,33,13,3,M,Single,429.151349
104443,22,3,3,F,Single,307.5161346
198247,27,7,3,M,Single,1080.326184
149780,60,40,3,F,Married,131.413806
140873,66,48,3,F,Married,149.4642395
124430,60,40,3,M,Single,375.8030948
100687,49,31,3,M,Single,447.9592236
158622,39,18,3,F,Single,308.4601596
153986,22,4,3,F,Single,486.0362198
110355,67,50,3,M,Married,207.5480439
156998,56,37,3,M,Single,246.873531
125497,70,52,3,F,Married,179.9030368
180093,62,44,3,M,Married,239.05033
130299,42,25,3,F,Single,478.3853629
151023,19,2,3,M,Married,367.19389
187965,49,30,3,F,Single,165.2570255
189837,19,1,3,M,Single,936.2423902
102501,68,51,3,M,Married,299.7789219
197274,22,3,3,M,Married,229.0209616
104425,16,0,3,M,Single,1174.253909
148325,26,8,3,F,Married,324.1735647
101145,22,5,3,M,Single,423.6899364
138784,68,50,3,F,Married,274.6770646
103557,26,9,3,M,Married,371.6037639
160855,47,26,3,M,Married,346.1455862
100935,63,43,3,M,Single,185.0165371
192851,21,2,3,F,Married,355.4298125
199893,18,0,3,M,Single,791.9230115
185581,49,30,3,F,Single,383.4475114
134970,69,52,3,F,Single,297.5445188
148984,69,49,3,F,Married,211.0603833
154960,29,8,3,F,Single,550.4771397
111384,49,28,3,F,Single,392.0745558
135839,25,8,3,F,Married,275.7229211
130894,61,41,3,F,Single,614.1358644
154855,66,49,3,F,Married,31.59694774
194617,50,32,3,F,Married,308.0470493
105045,58,41,3,M,Single,508.9858737
164812,48,28,3,M,Single,437.9751715
166927,31,11,3,F,Married,293.741185
189565,23,6,3,F,Single,305.7334947
179104,64,46,3,M,Single,412.164081
187753,24,6,3,F,Single,1362.170278
179465,16,0,3,M,Single,711.6021736
195242,28,9,3,F,Single,598.04402
180328,38,20,3,M,Married,358.7905874
158747,70,49,3,F,Married,245.499107
141246,21,3,3,M,Married,489.0396797
107998,68,47,3,F,Single,381.4821507
121436,35,18,3,F,Single,473.0285608
199116,20,1,3,M,Married,597.2813134
128542,17,0,3,M,Married,382.4534923
194451,62,41,3,F,Married,33.47560981
142159,22,4,3,F,Single,262.1890732
145959,31,12,3,F,Single,430.7245431
164170,67,47,3,M,Married,56.16608104
122519,70,49,3,F,Married,39.90354642
198957,16,0,3,F,Married,333.0099508
116019,23,5,3,F,Married,225.9165184
135045,16,0,3,F,Married,284.3556184
120413,49,30,3,F,Married,396.5168252
144963,60,39,3,M,Married,151.0873866
105689,53,35,3,F,Single,223.9912977
181622,26,8,3,M,Married,318.4066722
106073,63,46,3,M,Married,212.6638004
163325,61,44,3,M,Single,255.4191954
150225,18,1,3,F,Married,527.4669017
131578,43,23,3,F,Married,267.265559
195581,16,0,3,M,Single,529.9111881
128144,56,36,3,M,Married,397.9560458
179648,19,1,3,F,Married,407.478199
126078,45,24,3,F,Married,323.0151216
100015,35,15,3,F,Married,573.3058219
152166,54,33,3,F,Married,327.0209958
132546,57,39,3,M,Single,418.5709616
115199,42,24,3,F,Married,265.0117856
119111,19,2,3,M,Single,970.2005878
157990,63,46,3,M,Married,187.5932977
161787,46,28,3,M,Single,708.5389958
126915,40,21,3,M,Married,139.6440318
171444,57,39,3,M,Single,517.1821163
111001,42,21,3,M,Single,418.3983242
147905,40,20,3,M,Single,457.7210762
145342,21,2,3,F,Single,504.9550731
119783,69,48,3,F,Single,195.5864596
126522,23,6,3,M,Married,211.1797329
161657,23,6,3,M,Married,1267.597166
157227,42,25,3,M,Married,461.6472663
187141,58,38,3,F,Single,235.1946644
199820,69,48,3,F,Single,44.52318265
169667,37,18,3,M,Married,361.4324692
153423,39,19,3,F,Single,376.9376247
134080,61,44,3,F,Single,53.97127125
174730,43,26,3,F,Married,446.2320038
151099,29,11,3,F,Single,346.1008642
156503,43,26,3,F,Single,319.7097846
131676,18,0,3,M,Married,220.7307903
198429,55,34,3,F,Single,430.2150373
173062,48,29,3,M,Married,670.9693545
148468,69,49,3,F,Single,68.99066105
128557,70,51,3,M,Married,223.5059129
148524,53,33,3,F,Single,370.4228264
193111,69,51,3,M,Single,321.0702282
166138,31,11,3,F,Married,391.5921212
115201,39,21,3,M,Single,412.50814
172375,68,47,3,M,Married,268.8206765
103799,58,39,3,M,Married,255.0014446
179749,23,6,3,F,Single,226.5918853
190114,63,45,3,F,Single,476.8854492
119029,18,0,3,F,Single,484.403153
123377,26,7,3,F,Married,315.7468499
142102,31,14,3,M,Married,611.2974017
197579,34,14,3,F,Single,796.8075628
196869,36,15,3,M,Single,522.8906031
181109,26,7,3,M,Married,297.3700277
146421,48,28,3,M,Married,293.9512088
115018,40,19,3,M,Married,366.487367
162389,24,6,3,F,Single,231.8729302
142854,70,49,3,F,Married,252.5770707
166201,32,12,3,M,Single,423.3057527
104729,59,39,3,M,Single,419.4106329
136102,38,18,3,M,Married,165.5710814
176160,42,24,3,F,Married,327.5799744
109561,21,2,3,M,Married,414.1606562
133512,18,0,3,F,Single,671.1728517
158546,36,18,3,F,Single,531.4476528
193752,52,34,3,M,Married,486.2978109
107066,49,30,3,F,Single,167.5979735
103725,69,50,3,M,Married,286.6598643
177340,20,3,3,M,Single,1318.990738
141027,25,6,3,F,Single,550.1674199
175327,25,7,3,F,Married,367.5419089
177789,22,5,3,M,Single,398.161129
142309,68,48,3,F,Single,83.52161667
187152,49,29,3,M,Single,303.5159812
191981,20,2,3,F,Single,240.1517478
145208,64,46,3,M,Single,157.4779452
169892,23,4,3,M,Married,503.6588735
183896,18,1,3,F,Single,260.524676
174364,57,37,3,M,Married,331.9404469
127836,19,1,3,M,Single,274.9943267
135312,70,49,3,M,Single,183.0651561
155399,66,47,3,F,Single,127.4626527
123905,55,35,3,F,Single,821.5480216
166512,28,9,3,F,Married,325.3412948
167013,61,42,3,M,Single,634.6854911
104566,18,0,3,F,Single,409.9402636
176914,68,50,3,F,Married,279.2845698
143885,49,31,3,F,Single,184.8374195
157468,22,3,3,F,Married,404.1804576
115929,42,25,3,M,Married,390.2772461
161887,64,44,3,M,Single,353.4922551
163777,52,34,3,F,Married,317.9298964
132745,62,41,3,F,Married,45.67505452
112156,20,3,3,M,Single,468.6116157
184605,34,14,3,F,Single,439.4799764
137745,21,2,3,M,Married,262.2304821
185548,26,8,3,M,Single,921.0948551
188455,54,34,3,F,Single,162.3829021
135168,16,0,3,M,Single,938.3568203
183136,25,8,3,F,Single,562.5552069
127194,40,20,3,F,Married,372.2936525
145922,31,13,3,F,Married,354.7310573
101395,63,43,3,M,Single,79.57325501
123481,20,3,3,F,Single,582.4014834
115966,39,21,3,M,Single,397.6257605
133986,66,46,3,M,Married,82.05360918
130756,62,42,3,M,Single,667.35053
195236,39,20,3,M,Single,803.6527948
125388,23,4,3,M,Single,768.4643137
142964,55,38,3,F,Married,322.9303903
156919,68,48,3,M,Married,53.49667949
157141,18,0,3,F,Single,596.5048263
194225,65,47,3,M,Single,384.7250407
114199,70,50,3,M,Single,120.8152534
195716,34,15,3,M,Married,708.9139951
133527,69,51,3,F,Single,226.3846678
188175,16,0,3,F,Single,269.5369389
151004,23,6,3,M,Single,941.1118572
168142,44,23,3,M,Married,251.5648271
173638,16,0,3,M,Single,612.9537999
182640,25,7,3,M,Married,763.3224726
143916,56,35,3,F,Single,388.5680362
101731,25,6,3,M,Single,837.5364949
161320,32,15,3,F,Married,282.6876905
180081,68,51,3,F,Married,27.64545617
151573,24,6,3,F,Married,279.993291
174513,51,31,3,F,Single,337.3336847
102655,21,4,3,M,Single,878.0601151
119255,60,41,3,F,Single,33.96946247
114467,48,31,3,M,Married,371.7466035
143993,37,19,3,M,Single,583.618097
200181,51,32,3,M,Single,462.2527861
116281,20,3,3,F,Married,406.6253826
175308,16,0,3,F,Single,416.6699389
186429,34,16,3,F,Single,412.6961419
162334,17,0,3,M,Single,1243.266651
112586,17,0,3,F,Single,881.8866539
164655,38,21,3,M,Married,360.4100235
118684,41,20,3,M,Single,302.1979214
108841,65,47,3,M,Married,293.4360274
121215,67,48,3,F,Married,265.3039356
144818,23,5,3,M,Married,235.7885358
199043,22,4,3,F,Single,367.2309591
126470,46,29,3,F,Married,318.1656947
158107,38,17,3,F,Single,682.8144216
157434,25,8,3,F,Married,540.4608782
103536,68,47,3,F,Married,190.8082711
177005,65,46,3,F,Single,378.8241333
189981,23,6,3,F,Married,99.81541486
109880,19,2,3,M,Married,553.266107
122728,55,36,3,M,Single,458.7115177
103087,22,5,3,M,Married,217.7758088
176878,18,1,3,M,Married,478.4200123
109788,70,51,3,F,Married,81.34570916
119426,16,0,3,F,Single,568.7389461
178804,24,5,3,M,Single,845.2984939
137146,52,35,3,F,Married,327.4735937
185859,64,45,3,M,Married,271.9578787
131340,63,43,3,F,Married,81.7970462
114449,61,43,3,F,Single,243.4541214
199668,27,8,3,M,Single,710.9679541
143156,60,42,3,F,Single,70.05365
122159,17,0,3,M,Single,1084.582349
159795,26,7,3,M,Married,353.4056805
159468,64,46,3,M,Single,56.18666438
143837,65,44,3,M,Married,282.5451664
103071,36,17,3,F,Married,339.2887071
179511,58,39,3,F,Married,484.3306049
169635,38,17,3,F,Married,291.4424914
187555,25,6,3,M,Single,1102.42198
148927,59,42,3,F,Married,289.381618
153799,52,33,3,F,Single,763.106938
153406,23,4,3,M,Single,287.8380428
105742,21,3,3,M,Married,341.1303247
132412,65,48,3,M,Single,157.119858
154022,45,24,3,F,Single,656.6655102
170267,68,47,3,F,Single,145.3831304
138538,47,26,3,M,Married,386.5782655
177806,67,49,3,M,Married,549.9165017
138181,27,10,3,F,Married,329.0125562
138689,23,5,3,F,Married,484.6273438
171629,16,0,3,F,Married,105.5919565
148156,36,17,3,F,Married,263.0936688
118151,21,4,3,F,Single,661.3159383
161204,25,7,3,M,Single,218.7631965
131592,65,48,3,M,Single,114.0439503
100537,22,4,3,M,Married,353.6721522
157753,23,6,3,F,Single,701.2154637
150655,17,0,3,F,Married,320.28926
194224,39,22,3,F,Married,595.5328823
151066,17,0,3,F,Married,441.6426591
161693,49,28,3,F,Single,366.0757229
157311,60,39,3,M,Married,433.4556152
100632,29,10,3,F,Married,216.998695
177500,67,49,3,F,Married,290.3883404
105509,50,30,3,M,Married,353.0451445
147208,40,19,3,F,Married,298.1310198
136117,18,0,3,M,Single,736.4336297
130097,63,43,3,M,Single,61.95281383
148188,16,0,3,M,Single,823.9431127
101205,31,10,3,F,Single,404.7788623
132731,63,43,3,F,Single,272.6765058
117917,19,0,3,F,Married,521.6204512
163674,24,5,3,M,Single,1341.042514
147700,62,41,3,M,Single,218.2211854
185535,35,15,3,M,Single,316.4754963
126121,33,14,3,M,Married,386.0097307
129798,50,30,3,F,Married,350.5188669
104397,21,2,3,M,Married,432.7997392
168038,70,50,3,M,Married,132.866686
195169,64,47,3,F,Married,177.6837241
145953,68,48,3,F,Married,101.9932844
108846,34,14,3,F,Married,358.1689867
122696,70,53,3,F,Single,69.57448047
195724,21,2,3,M,Married,564.6980013
193810,61,42,3,F,Married,86.88180627
167938,42,23,3,M,Married,573.6219236
156388,26,6,3,M,Single,299.0696088
111560,25,7,3,M,Single,633.0663893
168637,66,46,3,F,Married,48.2986823
176798,70,52,3,F,Single,93.7226595
178657,46,29,3,M,Single,402.6710901
191569,23,6,3,M,Married,473.6061402
190585,55,34,3,F,Married,431.5115537
165322,17,0,3,M,Single,1003.798871
160393,62,43,3,F,Single,165.6664059
179686,46,26,3,F,Single,308.2932183
178651,19,2,3,M,Single,642.8462797
140484,24,7,3,F,Single,446.9873113
131283,18,0,3,M,Married,185.7922048
108895,68,49,3,M,Single,104.0232158
191575,65,47,3,M,Married,105.0798029
151742,61,43,3,M,Single,73.30396425
168434,19,1,3,F,Married,298.6623855
161974,70,52,3,F,Married,81.52838355
114177,54,36,3,F,Single,402.4294053
145339,18,0,3,M,Married,264.1244449
142587,21,2,3,F,Single,208.0440912
191471,61,40,3,F,Married,63.17475212
156050,49,32,3,F,Single,452.8799118
148660,66,46,3,F,Married,15.24467979
102581,50,32,3,M,Single,167.7291226
165493,22,5,3,M,Married,500.339043
128330,33,15,3,F,Single,558.0653071
139591,23,6,3,F,Married,221.052516
175033,69,52,3,M,Married,224.5342862
173397,70,51,3,M,Married,230.5496678
180042,33,15,3,F,Married,339.8535018
151873,26,9,3,M,Married,343.6898797
131238,62,44,3,M,Single,204.401161
162575,49,29,3,M,Married,123.3073712
166005,25,8,3,F,Married,756.143944
179593,17,0,3,F,Single,407.1083508
165496,62,45,3,F,Single,122.5853378
101288,70,50,3,M,Married,354.158526
117343,19,2,3,F,Single,188.395066
194718,54,36,3,M,Single,396.3582085
139131,67,50,3,M,Married,246.6048061
195391,23,4,3,M,Single,977.7389017
130001,28,11,3,F,Single,487.3538882
155407,64,44,3,M,Single,219.549482
110701,63,45,3,F,Married,294.436679
198066,40,21,3,F,Married,303.6954464
187007,63,43,3,M,Married,242.2761302
126764,18,0,3,M,Married,224.4649619
197010,24,7,3,F,Married,726.2144867
167179,70,53,3,F,Single,689.6666395
136904,65,48,3,F,Married,49.61236035
109088,20,2,3,M,Married,227.3249044
120151,23,6,3,F,Single,490.8473595
154231,20,3,3,M,Married,541.5791259
198387,50,30,3,F,Married,305.9487254
133523,67,47,3,F,Single,348.092367
104383,24,5,3,F,Married,168.5848448
129450,25,8,3,M,Married,453.7812962
138192,54,34,3,F,Married,365.5224138
101304,19,1,3,M,Married,856.1352159
192228,21,3,3,F,Married,270.560534
133610,69,48,3,M,Single,58.17556382
121897,55,37,3,M,Married,661.336893
158233,23,6,3,F,Married,254.098712
186671,28,11,3,F,Single,423.8902896
158526,46,29,3,M,Married,380.3607881
181262,35,16,3,M,Single,536.617917
129263,40,20,3,M,Single,937.2636371
150286,28,8,3,F,Single,327.6406969
138462,28,9,3,M,Married,478.3088134
193020,58,38,3,M,Single,423.6973989
178383,39,22,3,M,Married,376.9462415
134307,65,45,3,M,Single,121.3480129
105333,55,36,3,M,Married,358.5410346
196549,20,3,3,M,Single,1106.820353
101732,51,34,3,M,Married,227.1612949
131347,67,50,3,F,Single,328.6631954
159773,34,13,3,F,Married,314.3353919
142969,64,45,3,M,Married,131.1006337
177508,55,37,3,M,Married,346.7413411
197283,66,48,3,M,Single,184.8876343
176853,41,24,3,M,Single,734.4469905
165076,68,49,3,F,Single,156.5367839
152653,21,4,3,M,Married,384.1860668
175930,38,17,3,F,Married,340.5794941
110153,68,51,3,F,Married,59.35788412
108894,19,0,3,F,Married,383.875196
126905,16,0,3,F,Single,245.9460385
192817,44,27,3,F,Single,162.9210878
102817,16,0,3,M,Married,444.268167
166429,52,31,3,M,Married,724.4941323
107562,69,49,3,M,Single,220.0696315
179053,19,1,3,M,Married,232.254786
147849,21,4,3,M,Married,329.6421981
188582,25,6,3,F,Single,1296.990069
174142,30,11,3,F,Single,384.3993253
181984,42,24,3,F,Married,428.2211269
154576,34,17,3,F,Married,215.9218628
147745,37,16,3,M,Married,365.6708341
116765,33,16,3,F,Single,412.0823159
171787,37,17,3,M,Single,743.7041636
118084,50,29,3,F,Married,493.8233283
158867,17,0,3,F,Single,738.9427143
113891,21,2,3,F,Married,138.3497971
188024,60,41,3,F,Single,310.6458562
161753,17,0,3,F,Married,156.3794748
166014,19,0,3,M,Married,512.1920681
131441,38,20,3,F,Single,466.1189789
119548,63,46,3,M,Single,156.3483341
194453,50,33,3,M,Single,245.7227991
187652,29,8,3,F,Single,151.5827388
174696,23,6,3,M,Single,772.2370835
180075,33,14,3,M,Married,307.983331
120476,48,31,3,F,Single,388.7980122
188370,18,1,3,F,Married,300.9062125
122071,22,5,3,M,Married,497.3269336
113127,38,18,3,M,Single,390.9018922
141074,23,6,3,F,Single,782.5185902
151745,25,8,3,F,Single,637.1825197
176055,25,8,3,F,Married,266.8474848
167978,24,5,3,F,Single,536.0817614
133965,44,24,3,M,Single,752.6678759
130815,21,2,3,F,Single,467.6318976
125369,27,10,3,F,Married,195.7336016
113382,39,21,3,F,Single,363.5975285
188452,25,6,3,F,Single,796.4004917
122683,48,29,3,F,Single,409.9217362
108599,21,4,3,M,Single,999.8730496
175353,20,3,3,M,Single,915.7145156
169265,61,43,3,F,Single,310.9042823
193335,28,8,3,F,Single,401.5186952
142835,69,50,3,M,Married,73.20865642
114902,32,13,3,M,Married,135.4948734
147523,48,31,3,F,Married,373.9080561
104181,57,37,3,M,Married,443.5297142
121056,64,43,3,M,Single,601.4215068
181199,21,4,3,F,Single,737.21522
137861,33,12,3,F,Single,336.9777824
143897,55,34,3,M,Single,436.7674904
151334,20,3,3,M,Single,1231.095742
134782,68,49,3,F,Single,124.1052986
163773,70,53,3,M,Married,66.37737968
102744,41,20,3,M,Single,456.5223966
117664,44,27,3,F,Married,320.1273103
138812,59,40,3,M,Married,362.4078242
125550,56,35,3,F,Married,279.20235
106607,24,6,3,F,Single,225.5672078
166446,29,12,3,F,Married,309.7743793
148023,53,35,3,F,Single,356.5541485
169120,23,5,3,F,Single,335.3995789
174905,44,26,3,M,Single,449.3916101
168751,70,53,3,F,Single,700.3607889
129164,41,23,3,F,Single,372.5076295
180062,44,25,3,M,Married,505.2710024
184032,43,25,3,F,Married,313.8178437
113547,44,25,3,M,Single,845.4949707
144279,38,18,3,M,Single,278.028599
158733,37,20,3,M,Single,443.8011419
195316,20,3,3,F,Married,405.0870183
105710,64,47,3,M,Married,59.63046307
137912,17,0,3,F,Single,513.3529081
166383,16,0,3,F,Married,301.2966589
133169,19,2,3,F,Single,593.7213625
175164,60,43,3,F,Single,107.8733525
191510,28,8,3,F,Married,328.5205018
164738,18,1,3,F,Single,502.9435603
163067,63,42,3,F,Single,254.8645781
115383,51,30,3,F,Single,320.1286042
194043,29,8,3,F,Single,256.3007473
135198,63,43,3,M,Single,73.77395873
127930,46,27,3,M,Single,432.3452389
144460,63,45,3,F,Single,92.17754646
104352,39,20,3,M,Married,423.7212376
197861,35,18,3,M,Single,429.2311462
101694,39,20,3,F,Married,308.4500336
105905,68,49,3,M,Married,50.16883194
132121,61,42,3,M,Married,577.6616085
119721,49,32,3,M,Married,339.5879226
166042,64,45,3,M,Single,381.7761939
161878,61,41,3,M,Married,92.47682971
129951,22,4,3,F,Single,880.436309
188456,34,16,3,F,Single,326.44074
187457,26,9,3,M,Married,164.6698998
172588,21,4,3,F,Single,384.5008776
147445,61,40,3,F,Married,85.44059006
147966,32,14,3,F,Single,277.0366197
160543,20,1,3,F,Single,821.5817084
193194,61,41,3,M,Single,433.8956731
140998,30,13,3,F,Single,386.4149473
152932,26,9,3,M,Married,716.6627127
161859,20,2,3,F,Single,430.9069948
178261,18,0,3,F,Single,357.2899993
180027,31,14,3,M,Married,353.0847916
133292,34,14,3,M,Single,213.8203957
106217,62,44,3,F,Single,110.6444159
174726,23,4,3,F,Married,414.1243237
144064,28,9,3,F,Married,539.693869
194051,69,52,3,M,Single,309.1605204
117417,55,36,3,F,Single,262.0110004
153002,54,33,3,F,Married,315.1998983
167605,50,33,3,F,Single,751.3778859
129739,23,4,3,M,Single,888.8297571
158326,16,0,3,F,Married,451.5678298
190820,43,22,3,F,Married,200.3668453
179570,25,8,3,M,Single,1052.124636
147890,60,41,3,M,Single,311.6503256
171095,51,30,3,F,Married,421.5093144
136534,16,0,3,M,Married,270.8012465
155597,68,51,3,F,Married,258.834171
107714,54,36,3,F,Single,311.4123886
148935,65,47,3,M,Single,155.5908324
151790,28,11,3,F,Married,330.9052159
169685,65,45,3,M,Single,199.8544749
140181,31,12,3,M,Married,368.1900985
180497,55,34,3,F,Married,475.1007265
191429,18,0,3,F,Married,255.0223564
160682,69,48,3,F,Single,256.7040757
180933,63,44,3,M,Married,74.48355032
162185,64,44,3,F,Married,160.9837229
190057,41,23,3,F,Single,332.9836387
107141,61,40,3,F,Single,75.17008379
161845,61,44,3,M,Single,369.7127844
101407,68,49,3,M,Single,381.8479586
176177,20,3,3,F,Single,626.9501344
153086,54,36,3,M,Married,401.8401494
168366,21,4,3,F,Married,492.2762627
137420,62,42,3,F,Married,274.644567
163263,38,17,3,F,Married,313.5413947
126802,20,1,3,M,Married,319.3916327
191823,44,25,3,F,Married,155.6652916
106987,17,0,3,F,Married,271.2911711
199529,26,5,3,M,Single,206.2133582
135303,29,10,3,M,Married,655.4816786
131959,48,30,3,M,Married,597.1726794
124246,51,31,3,M,Single,631.7062428
168375,43,24,3,M,Married,380.6256736
198331,23,4,3,F,Married,304.0993493
180166,19,2,3,M,Single,482.2491178
169789,60,43,3,M,Single,279.4074456
105316,26,7,3,M,Married,523.4855829
148117,24,5,3,F,Single,423.7363909
112298,55,34,3,F,Married,366.86116
159328,17,0,3,M,Single,573.3040013
123772,16,0,3,M,Married,478.0992495
195718,69,50,3,M,Single,276.8951398
134905,66,45,3,M,Single,136.1581248
174345,19,1,3,F,Single,705.0733831
135353,22,5,3,F,Single,1000.752305
155135,70,49,3,M,Single,677.6506049
110315,53,36,3,M,Single,469.4146909
188417,27,9,3,M,Married,369.4463946
166909,17,0,3,M,Married,749.0647745
163481,62,44,3,F,Single,366.4794045
133265,51,33,3,M,Single,244.6252522
189409,65,46,3,F,Married,202.1033221
156119,33,16,3,F,Married,126.1962248
173905,30,12,3,M,Single,626.2191271
117036,62,42,3,F,Single,56.28531315
